DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Fossil Brown coal/Lignite	2044.0		2022-01-01 07:03:19
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Other	30.0		2022-01-01 03:03:06
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Water Reservoir	0.0		2022-01-01 03:03:07
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Hydro Water Reservoir	0.0		2022-01-01 03:03:07
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Pumped Storage	0.0		2022-01-01 03:03:07
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Hydro Pumped Storage	0.0		2022-01-01 03:03:07
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Hydro Run-of-river and poundage	1229.0		2022-01-01 09:03:06
2022-01-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Run-of-river and poundage	1229.0		2022-01-01 09:03:06
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Solar	0.0		2022-01-01 03:03:07
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Solar	0.0		2022-01-01 03:03:07
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Solar	0.0		2022-01-01 03:03:08
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Hydro Pumped Storage		895.08	2022-02-22 09:35:05
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Nuclear	5967.35		2022-02-22 09:35:03
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Waste	252.45		2022-02-22 09:35:01
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Hydro Run-of-river and poundage	6.37		2022-02-03 16:27:59
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Fossil Oil	0.0		2022-02-04 08:48:54
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Fossil Gas	1076.08		2022-01-04 16:19:57
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Biomass	223.8		2022-02-22 09:35:23
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Fossil Gas	1076.08		2022-01-04 16:22:16
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Fossil Gas	1076.08		2022-01-04 16:22:16
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Biomass	223.8		2022-01-04 16:22:16
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Biomass	223.8		2022-01-04 16:22:16
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Hydro Pumped Storage		895.08	2022-02-22 09:35:08
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Nuclear	5967.35		2022-01-04 16:22:15
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Fossil Oil	0.0		2022-02-04 08:49:02
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Fossil Oil	0.0		2022-02-04 08:49:02
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Hydro Pumped Storage		895.08	2022-02-22 09:35:08
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Waste	252.45		2022-01-04 16:22:15
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Hydro Run-of-river and poundage	6.37		2022-02-03 16:28:18
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Hydro Run-of-river and poundage	6.37		2022-02-03 16:28:17
2022-01-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Waste	252.45		2022-01-04 16:22:15
2022-01-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Nuclear	5967.35		2022-01-04 16:22:15
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Fossil Brown coal/Lignite	2359.0		2022-01-01 20:05:14
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Biomass	33.0		2022-01-04 11:31:56
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Hydro Water Reservoir	33.0		2022-01-01 20:05:14
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Fossil Gas	480.0		2022-01-04 11:32:21
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Hydro Run-of-river and poundage	130.0		2022-01-04 11:31:36
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Solar	0.0		2022-01-01 03:19:26
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Hydro Pumped Storage	0.0		2022-01-01 03:19:26
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Fossil Hard coal	58.0		2022-01-01 03:19:28
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Waste	4.0		2022-01-01 03:19:29
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Wind Onshore	211.0		2022-01-04 11:31:55
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Nuclear	2171.0		2022-01-01 20:05:17
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	BZN	BG BZN	BG	Hydro Water Reservoir	33.0		2022-01-01 20:05:22
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTY	BG CTY	BG	Hydro Water Reservoir	33.0		2022-01-01 20:05:22
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	BZN	BG BZN	BG	Hydro Run-of-river and poundage	130.0		2022-01-04 11:31:45
2022-01-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTY	BG CTY	BG	Hydro Run-of-river and poundage	130.0		2022-01-04 11:31:48
