DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-02 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2393.56	2022-01-02 04:00:51
2022-01-02 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2429.68	2022-01-02 05:00:51
2022-01-02 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2495.2	2022-01-02 06:00:54
2022-01-02 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2466.97	2022-01-02 07:00:53
2022-01-02 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2481.87	2022-01-02 08:00:55
2022-01-02 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2526.51	2022-01-02 09:00:56
2022-01-02 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2599.98	2022-01-02 10:01:04
2022-01-02 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2687.26	2022-01-02 11:00:58
2022-01-01 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2355.7	2022-01-02 03:00:55
2022-01-01 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2337.23	2022-01-02 03:00:55
2022-01-01 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2437.24	2022-01-02 03:00:55
2022-01-01 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2453.27	2022-01-02 03:00:55
2022-01-01 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2440.92	2022-01-02 03:00:55
2022-01-01 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2486.14	2022-01-02 03:00:55
2022-01-01 11:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2504.86	2022-01-02 03:00:55
2022-01-01 12:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2550.17	2022-01-02 03:00:55
2022-01-01 13:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2574.2	2022-01-02 03:00:55
2022-01-01 14:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2570.89	2022-01-02 03:00:55
2022-01-01 15:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2566.26	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2422.28	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2360.06	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2400.26	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2361.18	2022-01-02 03:00:55
2022-01-01 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2373.97	2022-01-02 03:00:55
2022-01-01 16:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	13683.0	2022-02-10 07:16:12
2022-01-01 17:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	14213.0	2022-02-10 07:16:12
2022-01-01 18:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	14599.0	2022-02-10 07:16:12
2022-01-01 19:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	14173.0	2022-02-10 07:16:12
2022-01-01 20:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	13453.0	2022-02-10 07:16:12
2022-01-01 21:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	12387.0	2022-02-10 07:16:12
2022-01-01 22:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	11293.0	2022-02-10 07:16:12
2022-01-01 23:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	10330.0	2022-02-11 07:16:15
2022-01-02 00:00:00.000	PT60M	10Y1001A1001A73I	BZN	IT-North BZN	IT-NORTH	9678.0	2022-02-11 07:16:16
