	DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime	_merge
2985	2022-01-01 01:00:00.000	PT60M	10YCA-BULGARIA-R	BZN	BG BZN	BG	Nuclear	2168.0		2022-01-01 20:05:24	left_only
2986	2022-01-01 01:00:00.000	PT60M	10YCA-BULGARIA-R	BZN	BG BZN	BG	Biomass	34.0		2022-01-04 11:31:57	left_only
2987	2022-01-01 01:00:00.000	PT60M	10YCA-BULGARIA-R	CTY	BG CTY	BG	Biomass	34.0		2022-01-04 11:31:57	left_only
2988	2022-01-01 01:00:00.000	PT60M	10YCA-BULGARIA-R	CTY	BG CTY	BG	Nuclear	2168.0		2022-01-01 20:05:24	left_only
2989	2022-01-01 01:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Wind Onshore	339.34		2022-02-22 09:35:24	left_only
2990	2022-01-01 01:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Wind Offshore	1424.02		2022-02-22 09:35:15	left_only
2991	2022-01-01 01:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Wind Onshore	339.34		2022-01-01 04:23:49	left_only
2992	2022-01-01 01:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Wind Onshore	339.34		2022-01-01 04:23:49	left_only
2993	2022-01-01 01:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Wind Offshore	1424.02		2022-02-20 04:21:26	left_only
2994	2022-01-01 01:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Wind Offshore	1424.02		2022-02-20 04:21:26	left_only
2995	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	Fossil Brown coal/Lignite	514.21		2022-01-01 04:26:21	left_only
2996	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	Wind Onshore	20.03		2022-01-01 04:26:21	left_only
2997	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	CTA	XK CTA	XK	Hydro Run-of-river and poundage	1.23		2022-01-01 04:26:21	left_only
2998	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	Fossil Brown coal/Lignite	514.21		2022-01-01 04:26:22	left_only
2999	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	Fossil Brown coal/Lignite	514.21		2022-01-01 04:26:22	left_only
3000	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	Hydro Run-of-river and poundage	1.23		2022-01-01 04:26:22	left_only
3001	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	Wind Onshore	20.03		2022-01-01 04:26:22	left_only
3002	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	Hydro Run-of-river and poundage	1.23		2022-01-01 04:26:22	left_only
3003	2022-01-01 01:00:00.000	PT60M	10Y1001C--00100H	BZN	XK BZN	XK	Wind Onshore	20.03		2022-01-01 04:26:22	left_only
3017	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTA	GR CTA	GR	Hydro Pumped Storage	0.0		2022-01-01 06:01:40	left_only
3018	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTA	GR CTA	GR	Fossil Oil	0.0		2022-01-01 06:01:40	left_only
3019	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTA	GR CTA	GR	Hydro Water Reservoir	676.0		2022-01-01 06:01:40	left_only
3020	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTA	GR CTA	GR	Fossil Brown coal/Lignite	352.0		2022-01-01 06:01:40	left_only
3021	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTA	GR CTA	GR	Fossil Gas	679.0		2022-01-01 06:01:40	left_only
3022	2022-01-01 01:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	Fossil Gas	679.0		2022-01-01 06:01:42	left_only
