DateTime	ResolutionCode	OutAreaCode	OutAreaTypeCode	OutAreaName	OutMapCode	InAreaCode	InAreaTypeCode	InAreaName	InMapCode	FlowValue	UpdateTime
2022-01-01 09:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YNO-0--------C	CTY	NO CTY	NO	1399.65	2022-01-09 17:45:50
2022-01-01 09:15:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YRO-TEL------P	CTY	RO CTY	RO	0.0	2022-01-01 10:48:54
2022-01-01 09:15:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YAT-APG------L	CTY	AT CTY	AT	0.0	2022-01-01 10:48:56
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YBE----------2	CTY	BE CTY	BE	0.0	2022-01-01 10:49:35
2022-01-01 09:00:00.000	PT60M	10YAL-KESH-----5	CTY	AL CTY	AL	10YGR-HTSO-----Y	CTY	GR CTY	GR	3.0	2022-01-01 14:00:54
2022-01-01 09:00:00.000	PT60M	10YTR-TEIAS----W	CTY	TR CTY	TR	10YGR-HTSO-----Y	CTY	GR CTY	GR	491.0	2022-01-01 14:00:54
2022-01-01 09:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YNL----------L	CTY	NL CTY	NL	1133.24	2022-01-09 17:45:48
2022-01-01 09:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YNO-0--------C	CTY	NO CTY	NO	1400.19	2022-01-09 17:45:50
2022-01-01 09:30:00.000	PT15M	10YSI-ELES-----O	CTY	SI CTY	SI	10YAT-APG------L	CTY	AT CTY	AT	93.64	2022-01-01 11:02:26
2022-01-01 09:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YRO-TEL------P	CTY	RO CTY	RO	0.0	2022-01-01 11:02:31
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	0.0	2022-01-01 11:03:25
2022-01-01 09:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	10YNO-0--------C	CTY	NO CTY	NO	0.0	2022-01-01 11:03:39
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	10YRO-TEL------P	CTY	RO CTY	RO	0.0	2022-01-01 11:03:45
2022-01-01 09:45:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10Y1001A1001A83F	CTY	DE CTY	DE	999.58	2022-01-21 05:34:40
2022-01-01 09:00:00.000	PT60M	10YMK-MEPSO----8	CTY	MK CTY	MK	10YGR-HTSO-----Y	CTY	GR CTY	GR	154.0	2022-01-01 14:00:53
2022-01-01 09:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	10YAT-APG------L	CTY	AT CTY	AT	1518.1	2022-01-09 17:45:47
2022-01-01 09:45:00.000	PT15M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 11:16:24
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YFR-RTE------C	CTY	FR CTY	FR	0.0	2022-01-01 11:16:29
2022-01-01 09:00:00.000	PT60M	10YSK-SEPS-----K	CTY	SK CTY	SK	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	8.4	2022-01-01 11:16:30
2022-01-01 09:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	10YAT-APG------L	CTY	AT CTY	AT	603.0	2022-01-08 07:47:14
2022-01-01 09:00:00.000	PT60M	10YAT-APG------L	CTY	AT CTY	AT	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	0.0	2022-01-01 11:16:35
2022-01-01 09:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	10YPL-AREA-----S	CTY	PL CTY	PL	0.0	2022-01-01 11:16:39
2022-01-01 09:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10YSK-SEPS-----K	CTY	SK CTY	SK	69.6	2022-01-02 12:30:51
2022-01-01 09:00:00.000	PT60M	10Y1001A1001B012	CTY	GE CTY	GE	10Y1001A1001B004	CTY	AM CTY	AM	0.0	2022-01-01 11:17:07
2022-01-01 09:00:00.000	PT60M	10Y1001A1001B012	CTY	GE CTY	GE	10Y1001A1001B05V	CTY	AZ CTY	AZ	0.0	2022-01-01 11:17:08
2022-01-01 09:00:00.000	PT60M	RU	CTY	RU CTY	RU	10Y1001A1001B012	CTY	GE CTY	GE	612.69	2022-01-01 11:17:11
2022-01-01 09:00:00.000	PT60M	10Y1001A1001B012	CTY	GE CTY	GE	10YTR-TEIAS----W	CTY	TR CTY	TR	220.33	2022-01-01 11:17:12
2022-01-01 09:30:00.000	PT15M	10YNO-0--------C	CTY	NO CTY	NO	10Y1001A1001A83F	CTY	DE CTY	DE	0.0	2022-01-01 11:17:23
2022-01-01 09:45:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YAT-APG------L	CTY	AT CTY	AT	0.0	2022-01-01 11:18:29
2022-01-01 09:00:00.000	PT60M	10YHU-MAVIR----U	CTY	HU CTY	HU	10YCS-SERBIATSOV	CTY	RS CTY	RS	57.25	2022-01-01 11:18:30
2022-01-01 09:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	10YHU-MAVIR----U	CTY	HU CTY	HU	0.09	2022-01-01 11:18:31
2022-01-01 09:00:00.000	PT60M	10YSK-SEPS-----K	CTY	SK CTY	SK	10YHU-MAVIR----U	CTY	HU CTY	HU	782.22	2022-01-01 11:18:32
2022-01-01 09:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	10Y1001A1001A39I	CTY	EE CTY	EE	0.0	2022-01-01 11:18:47
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	10YES-REE------0	CTY	ES CTY	ES	0.0	2022-01-01 11:27:55
2022-01-01 09:00:00.000	PT60M	10YES-REE------0	CTY	ES CTY	ES	10YFR-RTE------C	CTY	FR CTY	FR	0.0	2022-01-01 11:27:55
2022-01-01 09:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10YLT-1001A0008Q	CTY	LT CTY	LT	146.4	2022-01-05 10:25:32
2022-01-01 09:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	10YPL-AREA-----S	CTY	PL CTY	PL	0.52	2022-01-02 12:30:51
2022-01-01 09:00:00.000	PT60M	10YNO-0--------C	CTY	NO CTY	NO	10Y1001A1001A65H	CTY	DK CTY	DK	0.0	2022-01-01 11:28:04
2022-01-01 09:00:00.000	PT60M	BY	CTY	BY CTY	BY	10YLT-1001A0008Q	CTY	LT CTY	LT	616.0	2022-01-01 11:32:54
2022-01-01 09:00:00.000	PT60M	RU	CTY	RU CTY	RU	10YLT-1001A0008Q	CTY	LT CTY	LT	336.0	2022-01-01 11:32:55
2022-01-01 09:00:00.000	PT60M	10YLT-1001A0008Q	CTY	LT CTY	LT	10YSE-1--------K	CTY	SE CTY	SE	71.07	2022-01-01 11:33:12
2022-01-01 09:00:00.000	PT60M	10YCS-CG-TSO---S	CTY	ME CTY	ME	10YIT-GRTN-----B	CTY	IT CTY	IT	586.0	2022-01-02 07:02:57
2022-01-01 09:00:00.000	PT60M	10Y1001C--00100H	CTY	XK CTY	XK	10YCS-CG-TSO---S	CTY	ME CTY	ME	46.0	2022-01-01 12:24:49
2022-01-01 09:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	10YBA-JPCC-----D	CTY	BA CTY	BA	0.0	2022-01-01 11:45:48
2022-01-01 09:00:00.000	PT60M	10YCA-BULGARIA-R	CTY	BG CTY	BG	10YCS-SERBIATSOV	CTY	RS CTY	RS	592.48	2022-01-01 11:48:48
2022-01-01 09:00:00.000	PT60M	10YMK-MEPSO----8	CTY	MK CTY	MK	10YCS-SERBIATSOV	CTY	RS CTY	RS	0.0	2022-01-01 11:48:49
2022-01-01 09:00:00.000	PT60M	10YIT-GRTN-----B	CTY	IT CTY	IT	10YGR-HTSO-----Y	CTY	GR CTY	GR	0.0	2022-01-01 11:50:04
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A93C	CTY	MT CTY	MT	10YIT-GRTN-----B	CTY	IT CTY	IT	0.0	2022-01-01 11:50:04
2022-01-01 09:00:00.000	PT60M	10YMK-MEPSO----8	CTY	MK CTY	MK	10YCA-BULGARIA-R	CTY	BG CTY	BG	0.0	2022-01-01 12:24:34
2022-01-01 09:00:00.000	PT60M	10YAL-KESH-----5	CTY	AL CTY	AL	10Y1001C--00100H	CTY	XK CTY	XK	18.03	2022-01-01 12:24:49
2022-01-01 09:00:00.000	PT60M	10YMK-MEPSO----8	CTY	MK CTY	MK	10Y1001C--00100H	CTY	XK CTY	XK	32.0	2022-01-01 12:24:49
2022-01-01 09:00:00.000	PT60M	10YCA-BULGARIA-R	CTY	BG CTY	BG	10YMK-MEPSO----8	CTY	MK CTY	MK	517.0	2022-01-01 12:24:53
2022-01-01 09:00:00.000	PT60M	10Y1001C--00003F	CTY	UA CTY	UA	RU	CTY	RU CTY	RU	0.0	2022-01-01 13:26:36
2022-01-01 09:00:00.000	PT60M	BY	CTY	BY CTY	BY	10Y1001C--00003F	CTY	UA CTY	UA	18.0	2022-01-01 13:26:37
2022-01-01 09:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	10YAL-KESH-----5	CTY	AL CTY	AL	14.0	2022-01-01 14:00:54
2022-01-01 09:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	10YMK-MEPSO----8	CTY	MK CTY	MK	0.0	2022-01-01 14:00:53
2022-01-01 09:00:00.000	PT60M	10YGR-HTSO-----Y	CTY	GR CTY	GR	10YTR-TEIAS----W	CTY	TR CTY	TR	0.0	2022-01-01 14:00:54
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A92E	CTY	UK CTY	GB	10YNO-0--------C	CTY	NO CTY	NO	693.98	2022-01-02 01:30:55
2022-01-01 09:00:00.000	PT60M	10YNO-0--------C	CTY	NO CTY	NO	10Y1001A1001A92E	CTY	UK CTY	GB	0.0	2022-01-02 01:30:56
2022-01-01 09:45:00.000	PT15M	10Y1001A1001A92E	CTY	UK CTY	GB	10YNL----------L	CTY	NL CTY	NL	994.55	2022-01-25 20:38:10
2022-01-01 09:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10Y1001A1001A92E	CTY	UK CTY	GB	0.0	2022-01-25 20:38:12
2022-01-01 09:30:00.000	PT15M	10Y1001A1001A92E	CTY	UK CTY	GB	10YNL----------L	CTY	NL CTY	NL	994.55	2022-01-25 20:38:10
2022-01-01 09:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10Y1001A1001A92E	CTY	UK CTY	GB	0.0	2022-01-25 20:38:12
2022-01-01 09:15:00.000	PT15M	10Y1001A1001A92E	CTY	UK CTY	GB	10YNL----------L	CTY	NL CTY	NL	994.55	2022-01-25 20:38:10
2022-01-01 09:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10Y1001A1001A92E	CTY	UK CTY	GB	0.0	2022-01-25 20:38:12
2022-01-01 09:00:00.000	PT15M	10Y1001A1001A92E	CTY	UK CTY	GB	10YNL----------L	CTY	NL CTY	NL	994.55	2022-01-25 20:38:10
2022-01-01 09:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	10Y1001A1001A92E	CTY	UK CTY	GB	0.0	2022-01-25 20:38:12
