DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 09:00:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	Fossil Gas	349.74	4.54	2022-01-12 03:01:02
2022-01-01 09:30:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	Fossil Gas	385.29	4.24	2022-01-12 03:01:02
2022-01-01 08:00:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	Hydro Run-of-river and poundage	156.07	0.0	2022-01-12 03:01:03
2022-01-01 08:30:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	Hydro Run-of-river and poundage	156.9	0.0	2022-01-12 03:01:03
2022-01-01 09:00:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	Hydro Run-of-river and poundage	153.45	0.0	2022-01-12 03:01:03
2022-01-01 09:30:00.000	PT30M	10YIE-1001A00010	CTY	IE CTY	IE	Hydro Run-of-river and poundage	157.15	0.0	2022-01-12 03:01:03
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Solar	120.8		2022-03-05 11:47:22
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Solar	426.2		2022-03-05 11:47:22
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Biomass	384.0		2022-03-05 11:47:22
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Biomass	384.8		2022-03-05 11:47:22
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Wind Onshore	2717.2		2022-01-29 11:31:43
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Wind Onshore	2682.1		2022-01-29 11:31:43
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Wind Offshore	25.0		2022-01-08 11:22:43
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Wind Offshore	25.0		2022-01-08 11:22:43
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Other	32.6		2022-01-08 11:22:43
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Other	32.8		2022-01-08 11:22:43
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Hydro Pumped Storage	0.0	1952.4	2022-01-08 11:22:44
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Hydro Pumped Storage	0.0	1748.5	2022-01-02 10:22:12
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Hydro Water Reservoir	51.7	1.5	2022-01-08 11:22:44
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Hydro Water Reservoir	67.1	2.1	2022-01-29 11:31:47
2022-01-01 08:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Fossil Gas	168.8	7.2	2022-01-22 09:25:36
2022-01-01 09:00:00.000	PT60M	10YPT-REN------W	CTY	PT CTY	PT	Fossil Gas	170.5	7.6	2022-01-29 11:31:49
